Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L,,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,9,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-09-30 22:05:50.680124', '2024-09-30 22:43:19.965990', '2024-09-30 23:02:05.085750']","['2024-09-30 22:43:00.251280', '2024-09-30 23:01:45.873626', '2024-09-30 23:38:03.100719']",1,3271,0.045462865863825700,0.21786928611346500,"{'rouge-1': {'r': 0.2661105539610252, 'p': 0.35701442957492624, 'f': 0.28383129202672924}, 'rouge-2': {'r': 0.11196915021619286, 'p': 0.14516366844877482, 'f': 0.11631778676021666}, 'rouge-l': {'r': 0.24417713509949326, 'p': 0.3274384368904911, 'f': 0.26016587787162854}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,10,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 00:25:58.977196', '2024-10-01 01:03:28.152785', '2024-10-01 01:22:13.092025']","['2024-10-01 01:03:08.504800', '2024-10-01 01:21:53.888470', '2024-10-01 01:58:10.226712']",1,3271,0.044504263324434600,0.21107512711976700,"{'rouge-1': {'r': 0.2597859283741828, 'p': 0.3482978378623932, 'f': 0.2773269445000252}, 'rouge-2': {'r': 0.10694436490269454, 'p': 0.1390543764967263, 'f': 0.11149870456957492}, 'rouge-l': {'r': 0.23805151638611674, 'p': 0.31906053403593826, 'f': 0.2538907810553022}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,11,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 02:45:06.866409', '2024-10-01 03:22:36.802902', '2024-10-01 03:41:20.805458']","['2024-10-01 03:22:18.190837', '2024-10-01 03:41:02.459810', '2024-10-01 04:17:18.300425']",1,3271,0.04354127131134640,0.21787767331948000,"{'rouge-1': {'r': 0.2670455692942329, 'p': 0.3525820214652826, 'f': 0.2834283086658519}, 'rouge-2': {'r': 0.11195408875683457, 'p': 0.14225061031803476, 'f': 0.11559155675636519}, 'rouge-l': {'r': 0.24527071385148821, 'p': 0.3246223502393552, 'f': 0.2603279825187551}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,12,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 05:06:40.922079', '2024-10-01 05:44:09.835492', '2024-10-01 06:02:55.073094']","['2024-10-01 05:43:50.843705', '2024-10-01 06:02:35.473647', '2024-10-01 06:38:50.832072']",1,3271,0.038800851455707000,0.21363535633879100,"{'rouge-1': {'r': 0.2618916443239914, 'p': 0.3507359176031627, 'f': 0.27950719221605286}, 'rouge-2': {'r': 0.10691689299202313, 'p': 0.1396042577812605, 'f': 0.11148628800641931}, 'rouge-l': {'r': 0.23935642494385234, 'p': 0.319861488253023, 'f': 0.2548873417443757}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,13,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 07:29:52.170819', '2024-10-01 08:07:21.731891', '2024-10-01 08:26:06.058464']","['2024-10-01 08:07:03.557064', '2024-10-01 08:25:47.961467', '2024-10-01 09:02:02.934986']",1,3271,0.035547024810179100,0.21477819771219900,"{'rouge-1': {'r': 0.2602506432746295, 'p': 0.34502737682676143, 'f': 0.27642542273141973}, 'rouge-2': {'r': 0.10652544712105819, 'p': 0.13501291608394886, 'f': 0.11045407179848996}, 'rouge-l': {'r': 0.2378133102828768, 'p': 0.31607794870035477, 'f': 0.2526042846367465}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,14,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 09:56:11.747475', '2024-10-01 10:33:41.235884', '2024-10-01 10:52:25.400922']","['2024-10-01 10:33:22.911741', '2024-10-01 10:52:07.206173', '2024-10-01 11:28:22.392539']",1,3271,0.034202534661700100,0.21034821172461000,"{'rouge-1': {'r': 0.2574515177786087, 'p': 0.3382306042757486, 'f': 0.27242851785177585}, 'rouge-2': {'r': 0.10473845726048024, 'p': 0.13244034104923996, 'f': 0.10778253574861378}, 'rouge-l': {'r': 0.23522973183631815, 'p': 0.3098018726597269, 'f': 0.24891800477039763}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,15,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 12:23:31.685626', '2024-10-01 13:01:00.962450', '2024-10-01 13:19:45.732848']","['2024-10-01 13:00:41.272914', '2024-10-01 13:19:26.525490', '2024-10-01 13:55:42.462915']",1,3271,0.03274898046480320,0.20425371349637700,"{'rouge-1': {'r': 0.2526255287306984, 'p': 0.3347046942703055, 'f': 0.26772111509928703}, 'rouge-2': {'r': 0.10262688184477722, 'p': 0.12958500807292717, 'f': 0.10566485203427056}, 'rouge-l': {'r': 0.2318833486012593, 'p': 0.3070250318005253, 'f': 0.2452880690389513}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,16,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 14:52:36.991620', '2024-10-01 15:30:04.524598', '2024-10-01 15:48:49.078570']","['2024-10-01 15:29:46.252077', '2024-10-01 15:48:29.900793', '2024-10-01 16:24:45.169774']",1,3271,0.032191491465069700,0.2056330469540810,"{'rouge-1': {'r': 0.25510269204796404, 'p': 0.3346634104741939, 'f': 0.2685362036042538}, 'rouge-2': {'r': 0.10422603868043002, 'p': 0.12890900680456724, 'f': 0.10572291403440072}, 'rouge-l': {'r': 0.23328970118801626, 'p': 0.306380639899523, 'f': 0.24526512023095975}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,17,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 17:21:11.910793', '2024-10-01 17:58:41.120607', '2024-10-01 18:17:25.908683']","['2024-10-01 17:58:21.524609', '2024-10-01 18:17:06.802839', '2024-10-01 18:53:23.933391']",1,3271,0.03200187140289060,0.20031530958215400,"{'rouge-1': {'r': 0.2483365226019771, 'p': 0.32867457675941764, 'f': 0.2631762378990863}, 'rouge-2': {'r': 0.0997461549584538, 'p': 0.12547284565542485, 'f': 0.10274758986273844}, 'rouge-l': {'r': 0.22556521953043712, 'p': 0.2991600980455644, 'f': 0.23900728575686586}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,18,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 19:49:08.871026', '2024-10-01 20:26:38.045888', '2024-10-01 20:45:22.972373']","['2024-10-01 20:26:19.679696', '2024-10-01 20:45:03.786131', '2024-10-01 21:21:20.774630']",1,3271,0.03229558499567280,0.19820278393456900,"{'rouge-1': {'r': 0.24444033698523307, 'p': 0.32425918497608497, 'f': 0.2590237880085184}, 'rouge-2': {'r': 0.09921096040680545, 'p': 0.1232151229415027, 'f': 0.10151428822627241}, 'rouge-l': {'r': 0.2229634110783991, 'p': 0.2955728347183995, 'f': 0.23594474024202813}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,19,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-01 22:15:59.698642', '2024-10-01 22:53:28.666011', '2024-10-01 23:12:12.698881']","['2024-10-01 22:53:10.289305', '2024-10-01 23:11:54.338667', '2024-10-01 23:48:09.531205']",1,3271,0.029393453724218100,0.1946265759690630,"{'rouge-1': {'r': 0.24035590885556873, 'p': 0.3149202765974748, 'f': 0.2533861489746964}, 'rouge-2': {'r': 0.09767965566105596, 'p': 0.11945635250715556, 'f': 0.09911970345505253}, 'rouge-l': {'r': 0.22036975609100323, 'p': 0.2891034239940317, 'f': 0.23204712934139626}}",,,,,,,,,,,,,,
JavaOnly,29396,FedAvg,20,NousResearch/Llama-2-7b-hf,"trainable params: 67,108,864 || all params: 3,567,521,792 || trainable%: 1.881105930466591","['q_proj', 'k_proj', 'v_proj', 'o_proj']",64,"['2024-10-02 00:44:58.579394', '2024-10-02 01:22:26.224554', '2024-10-02 01:41:10.118845']","['2024-10-02 01:22:07.979343', '2024-10-02 01:40:51.881830', '2024-10-02 02:17:07.379928']",1,3271,0.0315559897720022,0.1971544738852480,"{'rouge-1': {'r': 0.2448116971668122, 'p': 0.3189196198643124, 'f': 0.25729333249859593}, 'rouge-2': {'r': 0.09868317251607107, 'p': 0.121122819323595, 'f': 0.09993994193279042}, 'rouge-l': {'r': 0.22423876518450195, 'p': 0.29172198307107144, 'f': 0.23514306579964261}}",,,,,,,,,,,,,,
