Data,Client,project,BaseModelName,EvalDataSize,C-BLEU,METEOR,ROUGE-L
JavaOnly,Fed@BEST (12),kafka,codellama/CodeLlama-7b-Instruct-hf,327,0.032071050835182704,0.2165973577560018,"{'rouge-1': {'r': 0.28363931615407606, 'p': 0.3251062645406215, 'f': 0.283877826260751}, 'rouge-2': {'r': 0.11490881500882248, 'p': 0.1249372494721585, 'f': 0.11045208951433211}, 'rouge-l': {'r': 0.25411341719793173, 'p': 0.2896735555457185, 'f': 0.2535448911488663}}"
JavaOnly,Fed@BEST (12),guava,codellama/CodeLlama-7b-Instruct-hf,203,0.017558774796926656,0.16840507674215144,"{'rouge-1': {'r': 0.2194516946999349, 'p': 0.2799786653906996, 'f': 0.21528083614557555}, 'rouge-2': {'r': 0.08257392392249532, 'p': 0.09707093041489294, 'f': 0.08106105083297913}, 'rouge-l': {'r': 0.19475104355984865, 'p': 0.2496314567191719, 'f': 0.19041342770935635}}"
JavaOnly,Fed@BEST (12),spring-framework,codellama/CodeLlama-7b-Instruct-hf,994,0.06568295032941601,0.2987712677552576,"{'rouge-1': {'r': 0.34651691645441335, 'p': 0.39734095907685646, 'f': 0.3493015136184341}, 'rouge-2': {'r': 0.1706249219562004, 'p': 0.18920914398480132, 'f': 0.16793567239981957}, 'rouge-l': {'r': 0.3227003061773393, 'p': 0.3685579694744225, 'f': 0.32465808334406193}}"
JavaOnly,Fed@BEST (12),spring-boot,codellama/CodeLlama-7b-Instruct-hf,161,0.13134659688059422,0.3466871892095453,"{'rouge-1': {'r': 0.3926864006232023, 'p': 0.4539249053224211, 'f': 0.40447570620055534}, 'rouge-2': {'r': 0.21012855789933868, 'p': 0.22890723619143127, 'f': 0.20754415451348057}, 'rouge-l': {'r': 0.372805733378681, 'p': 0.429499813506025, 'f': 0.383380110776276}}"
JavaOnly,Fed@BEST (12),spring-security,codellama/CodeLlama-7b-Instruct-hf,207,0.10706644993398827,0.3402953313210105,"{'rouge-1': {'r': 0.41397877581237913, 'p': 0.47491533853988244, 'f': 0.40912685917214764}, 'rouge-2': {'r': 0.22691037502047912, 'p': 0.2463633467978433, 'f': 0.21601093210713676}, 'rouge-l': {'r': 0.38392917572879054, 'p': 0.439987423702755, 'f': 0.37981224720872786}}"
JavaOnly,Fed,dubbo,codellama/CodeLlama-7b-Instruct-hf,108,1.998452450687479e-232,0.006550906479971556,"{'rouge-1': {'r': 0.0023148148148148147, 'p': 0.00014481734911842438, 'f': 0.00027256691871314133}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0023148148148148147, 'p': 0.00014481734911842438, 'f': 0.00027256691871314133}}"
JavaOnly,Fed,flink,codellama/CodeLlama-7b-Instruct-hf,977,2.477846766924069e-232,0.007200321021274524,"{'rouge-1': {'r': 0.003684738161504087, 'p': 0.0003623118455635872, 'f': 0.000650669975849121}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0036278747474247056, 'p': 0.0003543774156920456, 'f': 0.0006367442417888644}}"
JavaOnly,Fed,ExoPlayer,codellama/CodeLlama-7b-Instruct-hf,285,2.5829064322754292e-232,0.006585672476926682,"{'rouge-1': {'r': 0.004174835523621575, 'p': 0.00043127501441882427, 'f': 0.0007696006889764411}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.00395553727800754, 'p': 0.00040102698054102627, 'f': 0.0007164374779184936}}"
JavaOnly,Fed,dagger,codellama/CodeLlama-7b-Instruct-hf,9,0,0.005491422158088826,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}"
JavaOnly,Fed,kafka,codellama/CodeLlama-7b-Instruct-hf,327,2.5407140789308663e-232,0.006872702534582608,"{'rouge-1': {'r': 0.004853585616289056, 'p': 0.0004053149283538243, 'f': 0.000734514738222647}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.004853585616289056, 'p': 0.0004053149283538243, 'f': 0.000734514738222647}}"
JavaOnly,Fed,guava,codellama/CodeLlama-7b-Instruct-hf,203,2.9146205959271896e-232,0.006889542199596733,"{'rouge-1': {'r': 0.00552562034378899, 'p': 0.0006574791498210744, 'f': 0.0011567241476398182}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.00552562034378899, 'p': 0.0006574791498210744, 'f': 0.0011567241476398182}}"
JavaOnly,Fed,spring-framework,codellama/CodeLlama-7b-Instruct-hf,994,2.5991213279119827e-232,0.005706736861144346,"{'rouge-1': {'r': 0.004773631939599544, 'p': 0.00043554113630250667, 'f': 0.0007853760197238912}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.004773631939599544, 'p': 0.00043554113630250667, 'f': 0.0007853760197238912}}"
JavaOnly,Fed,spring-boot,codellama/CodeLlama-7b-Instruct-hf,161,1.9973327577516647e-232,0.0037035146440867373,"{'rouge-1': {'r': 0.0014636846934983582, 'p': 0.00015360350283743005, 'f': 0.000275202323392839}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0014636846934983582, 'p': 0.00015360350283743005, 'f': 0.000275202323392839}}"
JavaOnly,Fed,spring-security,codellama/CodeLlama-7b-Instruct-hf,207,2.9356943328370646e-232,0.0061218540123797625,"{'rouge-1': {'r': 0.007195568291722999, 'p': 0.0006813712274705956, 'f': 0.0012322722518227581}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.007195568291722999, 'p': 0.0006813712274705956, 'f': 0.0012322722518227581}}"
