Data,TrainDataSize,ModelType,Round,BaseModelName,TrainableParams,TargetModules,RankLoRAModule,StartTime,EndTime,NumberEpochs,EvalDataSize,C-BLEU,METEOR,ROUGE-L
JavaOnly,29396,Central,NA,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
JavaOnly,29396,FedAvg,9,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-27 22:27:52.672766', '2024-02-27 23:12:25.835125', '2024-02-27 23:34:34.797635']","['2024-02-27 23:12:16.221223', '2024-02-27 23:34:23.977869', '2024-02-28 00:17:24.254894']",1,3271,0.011435473045336625,0.11622892672759454,"{'rouge-1': {'r': 0.15333254596351334, 'p': 0.1392871886137037, 'f': 0.13482624953554467}, 'rouge-2': {'r': 0.06458193890637337, 'p': 0.05281573087339738, 'f': 0.05338236573196881}, 'rouge-l': {'r': 0.13901118033305113, 'p': 0.1255316582917661, 'f': 0.12163261855663567}}"
JavaOnly,29396,FedAvg,10,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-28 03:39:45.329138', '2024-02-28 04:24:17.349585', '2024-02-28 04:46:25.435371']","['2024-02-28 04:24:07.721258', '2024-02-28 04:46:16.132795', '2024-02-28 05:29:14.612922']",1,3271,0.010208675677040303,0.1067701292529831,"{'rouge-1': {'r': 0.1407409179459916, 'p': 0.12950199472159768, 'f': 0.12529714392904312}, 'rouge-2': {'r': 0.057338343369536006, 'p': 0.0477040025491905, 'f': 0.04820692663211094}, 'rouge-l': {'r': 0.12666893776847718, 'p': 0.11634039241464347, 'f': 0.11246434865956009}}"
JavaOnly,29396,FedAvg,11,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-28 08:56:52.108290', '2024-02-28 09:41:23.813208', '2024-02-28 10:03:32.293293']","['2024-02-28 09:41:15.431308', '2024-02-28 10:03:24.272402', '2024-02-28 10:46:20.734886']",1,3271,0.008964092383797527,0.08966759196786431,"{'rouge-1': {'r': 0.1163684728447542, 'p': 0.10875547358778216, 'f': 0.10383434936642327}, 'rouge-2': {'r': 0.04780183450810279, 'p': 0.039587212420233345, 'f': 0.0402440026291526}, 'rouge-l': {'r': 0.104007855290857, 'p': 0.09713517536204168, 'f': 0.09260058114880651}}"
JavaOnly,29396,FedAvg,12,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-28 14:32:59.195741', '2024-02-28 15:17:27.211291', '2024-02-28 15:39:32.125673']","['2024-02-28 15:17:18.843824', '2024-02-28 15:39:24.148891', '2024-02-28 16:22:21.206271']",1,3271,0.007834424000417587,0.07966043701877171,"{'rouge-1': {'r': 0.10764892796211294, 'p': 0.10405495795456261, 'f': 0.0958816803806633}, 'rouge-2': {'r': 0.042450352647604016, 'p': 0.03510695674626019, 'f': 0.03491298642507742}, 'rouge-l': {'r': 0.09607115352342492, 'p': 0.09319868157239547, 'f': 0.08543324651156466}}"
JavaOnly,29396,FedAvg,13,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-28 20:17:58.828916', '2024-02-28 21:02:26.290068', '2024-02-28 21:24:33.446231']","['2024-02-28 21:02:15.709197', '2024-02-28 21:24:23.872565', '2024-02-28 22:07:18.308756']",1,3271,0.005955681541120318,0.06792986517770377,"{'rouge-1': {'r': 0.09045553097408408, 'p': 0.08932318518176102, 'f': 0.08042919874153862}, 'rouge-2': {'r': 0.0362788728551646, 'p': 0.03059176005647934, 'f': 0.030003103237225322}, 'rouge-l': {'r': 0.08133464933065929, 'p': 0.080253396437309, 'f': 0.07190199221938835}}"
JavaOnly,29396,FedAvg,14,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-29 02:28:11.760426', '2024-02-29 03:12:43.477942', '2024-02-29 03:34:52.479133']","['2024-02-29 03:12:32.801829', '2024-02-29 03:34:42.214969', '2024-02-29 04:17:40.340551']",1,3271,0.004716461788488239,0.06300262246692147,"{'rouge-1': {'r': 0.08486924944654875, 'p': 0.08347657959072716, 'f': 0.07553935707483174}, 'rouge-2': {'r': 0.03290947953667912, 'p': 0.026355156764933642, 'f': 0.026762749469489956}, 'rouge-l': {'r': 0.07612549410386954, 'p': 0.07524910342184468, 'f': 0.06764489574716566}}"
JavaOnly,29396,FedAvg,15,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-29 08:43:45.412678', '2024-02-29 09:28:15.999460', '2024-02-29 09:50:24.475638']","['2024-02-29 09:28:06.741643', '2024-02-29 09:50:15.447877', '2024-02-29 10:33:10.018532']",1,3271,0.00461856555097323,0.06139658384983904,"{'rouge-1': {'r': 0.07940447962589188, 'p': 0.0817618242981516, 'f': 0.0709622372091658}, 'rouge-2': {'r': 0.03207005899538302, 'p': 0.027422709091703638, 'f': 0.02696288756064285}, 'rouge-l': {'r': 0.07198671733632667, 'p': 0.0747052918156162, 'f': 0.06417459226709439}}"
JavaOnly,29396,FedAvg,16,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-29 15:22:06.572609', '2024-02-29 16:06:48.097808', '2024-02-29 16:29:02.769965']","['2024-02-29 16:06:35.429659', '2024-02-29 16:28:52.143322', '2024-02-29 17:11:54.983653']",1,3271,0.0049656593165768904,0.06379359478068432,"{'rouge-1': {'r': 0.08391167038204551, 'p': 0.08856537967128508, 'f': 0.0764904370883856}, 'rouge-2': {'r': 0.03340727396164176, 'p': 0.029032652345913547, 'f': 0.028582896659996592}, 'rouge-l': {'r': 0.07560752066121228, 'p': 0.08043973713427889, 'f': 0.06883662970895783}}"
JavaOnly,29396,FedAvg,17,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-02-29 21:49:42.589347', '2024-02-29 22:34:14.848423', '2024-02-29 22:56:25.307086']","['2024-02-29 22:34:03.984841', '2024-02-29 22:56:14.320955', '2024-02-29 23:39:13.109084']",1,3271,0.0037857521736622463,0.05677904542833929,"{'rouge-1': {'r': 0.07387369377415592, 'p': 0.07908697995586207, 'f': 0.06753525850534585}, 'rouge-2': {'r': 0.02962542767794803, 'p': 0.02524296723076318, 'f': 0.02481215579751348}, 'rouge-l': {'r': 0.06648719011939552, 'p': 0.07161122454500723, 'f': 0.0605892081104894}}"
JavaOnly,29396,FedAvg,18,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-03-01 04:25:33.384218', '2024-03-01 05:10:06.827626', '2024-03-01 05:32:15.660412']","['2024-03-01 05:09:57.002691', '2024-03-01 05:32:06.534699', '2024-03-01 06:15:03.158634']",1,3271,0.003736509500588778,0.05457889034994624,"{'rouge-1': {'r': 0.07313417293296387, 'p': 0.08120526318957176, 'f': 0.06730457041477195}, 'rouge-2': {'r': 0.02868848522502128, 'p': 0.025305385036359093, 'f': 0.024282978738898616}, 'rouge-l': {'r': 0.06641804111128878, 'p': 0.07428673584346948, 'f': 0.060897812287411285}}"
JavaOnly,29396,FedAvg,19,codellama/CodeLlama-7b-Instruct-hf,"trainable params: 8,388,608 || all params: 6,746,935,296 || trainable%: 0.12433212461624295
","['q_proj', 'k_proj']",16,"['2024-03-01 10:48:37.532563', '2024-03-01 11:33:07.646673', '2024-03-01 11:55:16.073116']","['2024-03-01 11:32:58.527223', '2024-03-01 11:55:05.664372', '2024-03-01 12:38:05.587854']",1,3271,0.003184118252252551,0.05317713760284093,"{'rouge-1': {'r': 0.07116866456090205, 'p': 0.07770480200373794, 'f': 0.06487574384120978}, 'rouge-2': {'r': 0.02759743632592509, 'p': 0.023910048106672275, 'f': 0.023319655057119765}, 'rouge-l': {'r': 0.06401387182670237, 'p': 0.07027017608210483, 'f': 0.058070916810026525}}"
